dni ;id_productos;id_tiempo;id_venta;cantidad;venta_total;precio
24117928;1;1;1;40;4680;234
27883872;2;2;2;50;4800;160
29055426;3;3;3;60;7440;186
29765170;4;4;4;46;4040;202
30580445;5;5;5;48;3040;152
31506411;6;6;6;47;1530;102
32057104;7;7;7;49;2820;94
36460004;8;8;8;57;2460;82
39278690;9;9;9;53;2190;73
39617556;10;10;10;59;3105;69
42026651;11;11;11;45;1180;59
43363858;12;12;12;56;960;32
44015456;13;13;13;59;2600;65
59061526;14;14;14;57;3720;93
59301829;15;15;15;49;1530;51
59475562;16;16;16;53;390;39
68219992;17;17;17;40;4680;234
68424176;18;18;18;50;4800;160
75623365;19;19;19;60;7440;186
76849680;20;20;20;46;4040;202
86884442;21;21;21;48;3040;152
87871394;22;22;22;47;1530;102
88065810;23;23;23;49;2820;94
91900829;24;24;24;57;2460;82
40909490;25;25;25;53;2190;73
42344268;26;26;26;59;3105;69
7481317;27;27;27;45;1180;59
10226979;28;28;28;56;960;32
25791117;29;29;29;59;2600;65
8170176;30;30;30;57;3720;93
40926048;31;31;31;49;1530;51
40022472;32;32;32;53;390;39
7611442;33;33;33;40;4680;234
10284558;34;34;34;50;4800;160
44042866;35;35;35;60;7440;186
9398605;36;36;36;46;4040;202
10454383;37;37;37;48;3040;152
41841917;38;38;38;47;1530;102
41300903;39;39;39;49;2820;94
10805518;40;40;40;57;2460;82
40975017;41;41;41;53;2190;73
42199746;42;42;42;59;3105;69
42624788;43;43;43;45;1180;59
8176678;44;44;44;56;960;32
40281181;45;45;45;59;2600;65
43276927;46;46;46;57;3720;93
25759489;47;47;47;49;1530;51
42009159;48;48;48;53;390;39
43313315;49;49;49;40;4680;51
9840889;50;50;50;50;4800;39
10635271;1;1;1;40;4680;234
40215198;2;2;2;50;4800;160
9537473;3;3;3;60;7440;186
42237280;4;4;4;46;4040;202
41718104;5;5;5;48;3040;152
9991479;6;6;6;47;1530;102
7295225;7;7;7;49;2820;94
42664311;8;8;8;57;2460;82
40301764;9;9;9;53;2190;73
8148753;10;10;10;59;3105;69
5644214;11;11;11;45;1180;59
9630346;12;12;12;56;960;32
25489227;13;13;13;59;2600;65
23690499;14;14;14;57;3720;93
8664751;15;15;15;49;1530;51
40170225;16;16;16;53;390;39
6668543;17;17;17;40;4680;234
6154572;18;18;18;50;4800;160
9993384;19;19;19;60;7440;186
9892939;20;20;20;46;4040;202
7496720;21;21;21;48;3040;152
42563487;22;22;22;47;1530;102
10226926;23;23;23;49;2820;94
10612128;24;24;24;57;2460;82
10811713;25;25;25;53;2190;73
7873762;26;26;26;59;3105;69
40687813;27;27;27;45;1180;59
43560303;28;28;28;56;960;32
40376759;29;29;29;59;2600;65
8089140;30;30;30;57;3720;93
41912456;31;31;31;49;1530;51
40324127;32;32;32;53;390;39
9405392;33;33;33;40;4680;234
10177146;34;34;34;50;4800;160
4068858;35;35;35;60;7440;186
7856753;36;36;36;46;4040;202
42512124;37;37;37;48;3040;152
40407995;38;38;38;47;1530;102
40967360;39;39;39;49;2820;94
9189466;40;40;40;57;2460;82
40866382;41;41;41;53;2190;73
10637969;42;42;42;59;3105;69
42261172;43;43;43;45;1180;59
41098333;44;44;44;56;960;32
